ball,metric,speed,club,value
Callaway Chrome Tour,Descent Angle,fast,driver,28.68
Titleist Velocity,Descent Angle,fast,driver,28.7
Maxfli Tour,Descent Angle,fast,driver,28.91
Vice Pro,Descent Angle,fast,driver,28.96
Vice Pro Air,Descent Angle,fast,driver,29.05
Wilson Triad,Descent Angle,fast,driver,29.17
Bridgestone TOUR B RX,Descent Angle,fast,driver,29.19
Titleist Tour Soft,Descent Angle,fast,driver,29.47
PXG Xtreme Tour X,Descent Angle,fast,driver,29.48
Maxfli Tour X,Descent Angle,fast,driver,29.58
Callaway Chrome Soft,Descent Angle,fast,driver,29.58
Bridgestone TOUR B XS,Descent Angle,fast,driver,29.7
Bridgestone TOUR B X,Descent Angle,fast,driver,29.81
Srixon Q-STAR TOUR,Descent Angle,fast,driver,29.81
Kirkland Performance+ v3.5,Descent Angle,fast,driver,30.19
TaylorMade TP5x,Descent Angle,fast,driver,30.21
Titleist Pro V1x,Descent Angle,fast,driver,30.55
Wilson Staff Model,Descent Angle,fast,driver,30.66
Srixon Z-STAR XV,Descent Angle,fast,driver,30.71
Vice Pro Plus,Descent Angle,fast,driver,30.96
Srixon Z-STAR DIAMOND,Descent Angle,fast,driver,31.25
TaylorMade TP5,Descent Angle,fast,driver,31.51
Wilson Staff Model X,Descent Angle,fast,driver,31.53
Member's Mark Pro Series 2,Descent Angle,fast,driver,31.54
Srixon Z-STAR DIVIDE,Descent Angle,fast,driver,32.1
Srixon Z-STAR,Descent Angle,fast,driver,32.6
Srixon SOFT FEEL,Max Height,fast,driver,68.08
Callaway Supersoft,Max Height,fast,driver,70.04
Pinnacle Rush,Max Height,fast,driver,70.16
Titleist TruFeel,Max Height,fast,driver,73.13
TaylorMade SpeedSoft,Max Height,fast,driver,74.99
Srixon Q-STAR ULTISPEED,Max Height,fast,driver,74.65
PXG Xtreme Tour,Max Height,fast,driver,76.16
Maxfli Tour S,Max Height,fast,driver,74.72
Titleist AVX,Max Height,fast,driver,74.55
Callaway ERC Soft,Max Height,fast,driver,76.71
Mizuno Pro X,Max Height,fast,driver,76.24
Callaway Chrome Tour X,Max Height,fast,driver,76.62
Callaway Chrome Tour Triple Diamond,Max Height,fast,driver,79.23
Mizuno Pro S,Max Height,fast,driver,78.03
Titleist Pro V1,Max Height,fast,driver,77.74
Bridgestone TOUR B RXS,Max Height,fast,driver,75.02
Titleist Pro V1x Left Dash,Max Height,fast,driver,79.23
TaylorMade Tour Response,Max Height,fast,driver,78.46
Callaway Chrome Tour,Max Height,fast,driver,77.97
Titleist Velocity,Max Height,fast,driver,78.78
Maxfli Tour,Max Height,fast,driver,78.19
Vice Pro,Max Height,fast,driver,78.28
Vice Pro Air,Max Height,fast,driver,77.92
Wilson Triad,Max Height,fast,driver,77.15
Bridgestone TOUR B RX,Max Height,fast,driver,77.52
Titleist Tour Soft,Max Height,fast,driver,80.78
PXG Xtreme Tour X,Max Height,fast,driver,80.31
Maxfli Tour X,Max Height,fast,driver,80.87
Callaway Chrome Soft,Max Height,fast,driver,79.7
Bridgestone TOUR B XS,Max Height,fast,driver,81.47
Bridgestone TOUR B X,Max Height,fast,driver,82.35
Srixon Q-STAR TOUR,Max Height,fast,driver,80.67
Kirkland Performance+ v3.5,Max Height,fast,driver,83.6
TaylorMade TP5x,Max Height,fast,driver,81.02
