ball,metric,speed,club,value
Wilson Staff Model,Max Height,slow,mid-iron,58.04
Srixon Z-STAR XV,Max Height,slow,mid-iron,57.84
Srixon Z-STAR DIAMOND,Max Height,slow,mid-iron,56.26
Titleist Pro V1x Left Dash,Max Height,slow,mid-iron,58.16
Callaway Chrome Tour Triple Diamond,Max Height,slow,mid-iron,58.99
Callaway ERC Soft,Max Height,slow,mid-iron,60.35
PXG Xtreme Tour X,Max Height,slow,mid-iron,58.58
Wilson Staff Model X,Max Height,slow,mid-iron,57.83
Maxfli Tour,Max Height,slow,mid-iron,58.85
TaylorMade SpeedSoft,Max Height,slow,mid-iron,59.87
Titleist Pro V1,Max Height,slow,mid-iron,58.94
Vice Pro Plus,Max Height,slow,mid-iron,59.36
Titleist Tour Soft,Max Height,slow,mid-iron,58.81
Callaway Supersoft,Max Height,slow,mid-iron,61.03
Pinnacle Rush,Max Height,slow,mid-iron,58.44
Callaway Chrome Tour X,Max Height,slow,mid-iron,58.48
Titleist Pro V1x,Max Height,slow,mid-iron,57.64
TaylorMade Tour Response,Max Height,slow,mid-iron,61.38
Titleist TruFeel,Max Height,slow,mid-iron,60.73
Kirkland Performance+ v3.5,Max Height,slow,mid-iron,58.68
Srixon Q-STAR ULTISPEED,Max Height,slow,mid-iron,60.41
TaylorMade TP5,Max Height,slow,mid-iron,60.26
Srixon SOFT FEEL,Max Height,slow,mid-iron,60.64
Mizuno Pro X,Max Height,slow,mid-iron,59.68
Titleist AVX,Max Height,slow,mid-iron,61.67
Callaway Chrome Tour,Max Height,slow,mid-iron,60.2
Vice Pro Air,Max Height,slow,mid-iron,61.51
Wilson Triad,Max Height,slow,mid-iron,61.19
Callaway Chrome Soft,Max Height,slow,mid-iron,61.78
Titleist Velocity,Max Height,slow,mid-iron,60.83
Bridgestone TOUR B XS,Max Height,slow,mid-iron,60.15
Vice Pro,Max Height,slow,mid-iron,61.49
Srixon Q-STAR TOUR,Max Height,slow,mid-iron,60.86
Bridgestone TOUR B RXS,Max Height,slow,mid-iron,60.77
Maxfli Tour S,Max Height,slow,mid-iron,62.34
PXG Xtreme Tour,Max Height,slow,mid-iron,62.5
Member's Mark Pro Series 2,Spin,slow,mid-iron,4376.0
Srixon Z-STAR DIVIDE,Spin,slow,mid-iron,5023.0
Srixon Z-STAR,Spin,slow,mid-iron,5324.0
Bridgestone TOUR B X,Spin,slow,mid-iron,4843.0
Bridgestone TOUR B RX,Spin,slow,mid-iron,4438.0
Maxfli Tour X,Spin,slow,mid-iron,4761.0
TaylorMade TP5x,Spin,slow,mid-iron,4692.0
Mizuno Pro S,Spin,slow,mid-iron,4325.0
Wilson Staff Model,Spin,slow,mid-iron,4900.0
Srixon Z-STAR XV,Spin,slow,mid-iron,5160.0
Srixon Z-STAR DIAMOND,Spin,slow,mid-iron,5415.0
Titleist Pro V1x Left Dash,Spin,slow,mid-iron,4564.0
Callaway Chrome Tour Triple Diamond,Spin,slow,mid-iron,4570.0
Callaway ERC Soft,Spin,slow,mid-iron,4269.0
PXG Xtreme Tour X,Spin,slow,mid-iron,4810.0
Wilson Staff Model X,Spin,slow,mid-iron,5122.0
Maxfli Tour,Spin,slow,mid-iron,4774.0
TaylorMade SpeedSoft,Spin,slow,mid-iron,4625.0
Titleist Pro V1,Spin,slow,mid-iron,5014.0
Vice Pro Plus,Spin,slow,mid-iron,4844.0
Titleist Tour Soft,Spin,slow,mid-iron,5506.0
Callaway Supersoft,Spin,slow,mid-iron,4743.0
Pinnacle Rush,Spin,slow,mid-iron,5233.0
Callaway Chrome Tour X,Spin,slow,mid-iron,5346.0
Titleist Pro V1x,Spin,slow,mid-iron,5338.0
TaylorMade Tour Response,Spin,slow,mid-iron,4260.0
Titleist TruFeel,Spin,slow,mid-iron,4856.0
Kirkland Performance+ v3.5,Spin,slow,mid-iron,4893.0
Srixon Q-STAR ULTISPEED,Spin,slow,mid-iron,4782.0
TaylorMade TP5,Spin,slow,mid-iron,4793.0
Srixon SOFT FEEL,Spin,slow,mid-iron,4791.0
Mizuno Pro X,Spin,slow,mid-iron,4828.0
Titleist AVX,Spin,slow,mid-iron,4480.0
Callaway Chrome Tour,Spin,slow,mid-iron,4732.0
Vice Pro Air,Spin,slow,mid-iron,4320.0
Wilson Triad,Spin,slow,mid-iron,4443.0
Callaway Chrome Soft,Spin,slow,mid-iron,4458.0
Titleist Velocity,Spin,slow,mid-iron,4964.0
Bridgestone TOUR B XS,Spin,slow,mid-iron,5022.0
Vice Pro,Spin,slow,mid-iron,4453.0
Srixon Q-STAR TOUR,Spin,slow,mid-iron,4700.0
Bridgestone TOUR B RXS,Spin,slow,mid-iron,4703.0
Maxfli Tour S,Spin,slow,mid-iron,4349.0
PXG Xtreme Tour,Spin,slow,mid-iron,4589.0
Member's Mark Pro Series 2,Spin Axis,slow,mid-iron,2.92
Srixon Z-STAR DIVIDE,Spin Axis,slow,mid-iron,3.29
Srixon Z-STAR,Spin Axis,slow,mid-iron,2.95
Bridgestone TOUR B X,Spin Axis,slow,mid-iron,1.27
Bridgestone TOUR B RX,Spin Axis,slow,mid-iron,2.83
Maxfli Tour X,Spin Axis,slow,mid-iron,-1.07
TaylorMade TP5x,Spin Axis,slow,mid-iron,-2.21
Mizuno Pro S,Spin Axis,slow,mid-iron,2.98
Wilson Staff Model,Spin Axis,slow,mid-iron,1.88
Srixon Z-STAR XV,Spin Axis,slow,mid-iron,-0.34
Srixon Z-STAR DIAMOND,Spin Axis,slow,mid-iron,0.43
Titleist Pro V1x Left Dash,Spin Axis,slow,mid-iron,-0.96
Callaway Chrome Tour Triple Diamond,Spin Axis,slow,mid-iron,0.56
Callaway ERC Soft,Spin Axis,slow,mid-iron,-0.18
PXG Xtreme Tour X,Spin Axis,slow,mid-iron,-0.13
Wilson Staff Model X,Spin Axis,slow,mid-iron,0.48
Maxfli Tour,Spin Axis,slow,mid-iron,-0.01
TaylorMade SpeedSoft,Spin Axis,slow,mid-iron,0.81
Titleist Pro V1,Spin Axis,slow,mid-iron,0.15
Vice Pro Plus,Spin Axis,slow,mid-iron,-0.3
Titleist Tour Soft,Spin Axis,slow,mid-iron,0.36
Callaway Supersoft,Spin Axis,slow,mid-iron,0.01
Pinnacle Rush,Spin Axis,slow,mid-iron,-1.34
Callaway Chrome Tour X,Spin Axis,slow,mid-iron,-1.25
Titleist Pro V1x,Spin Axis,slow,mid-iron,-0.39
TaylorMade Tour Response,Spin Axis,slow,mid-iron,0.75
Titleist TruFeel,Spin Axis,slow,mid-iron,-0.7
Kirkland Performance+ v3.5,Spin Axis,slow,mid-iron,3.13
Srixon Q-STAR ULTISPEED,Spin Axis,slow,mid-iron,0.76
TaylorMade TP5,Spin Axis,slow,mid-iron,-0.77
Srixon SOFT FEEL,Spin Axis,slow,mid-iron,0.33
Mizuno Pro X,Spin Axis,slow,mid-iron,-1.47
Titleist AVX,Spin Axis,slow,mid-iron,1.11
Callaway Chrome Tour,Spin Axis,slow,mid-iron,0.54
Vice Pro Air,Spin Axis,slow,mid-iron,-1.49
Wilson Triad,Spin Axis,slow,mid-iron,0.89
Callaway Chrome Soft,Spin Axis,slow,mid-iron,1.2
Titleist Velocity,Spin Axis,slow,mid-iron,0.1
Bridgestone TOUR B XS,Spin Axis,slow,mid-iron,0.1
Vice Pro,Spin Axis,slow,mid-iron,0.7
Srixon Q-STAR TOUR,Spin Axis,slow,mid-iron,1.31
Bridgestone TOUR B RXS,Spin Axis,slow,mid-iron,0.33
Maxfli Tour S,Spin Axis,slow,mid-iron,0.15
PXG Xtreme Tour,Spin Axis,slow,mid-iron,-0.41
Member's Mark Pro Series 2,Launch Angle,slow,mid-iron,23.46
Srixon Z-STAR DIVIDE,Launch Angle,slow,mid-iron,22.35
Srixon Z-STAR,Launch Angle,slow,mid-iron,22.34
Bridgestone TOUR B X,Launch Angle,slow,mid-iron,23.19
Bridgestone TOUR B RX,Launch Angle,slow,mid-iron,23.67
Maxfli Tour X,Launch Angle,slow,mid-iron,23.28
TaylorMade TP5x,Launch Angle,slow,mid-iron,23.51
Mizuno Pro S,Launch Angle,slow,mid-iron,23.71
Wilson Staff Model,Launch Angle,slow,mid-iron,23.09
Srixon Z-STAR XV,Launch Angle,slow,mid-iron,22.85
Srixon Z-STAR DIAMOND,Launch Angle,slow,mid-iron,22.31
Titleist Pro V1x Left Dash,Launch Angle,slow,mid-iron,23.4
Callaway Chrome Tour Triple Diamond,Launch Angle,slow,mid-iron,23.61
Callaway ERC Soft,Launch Angle,slow,mid-iron,24.12
PXG Xtreme Tour X,Launch Angle,slow,mid-iron,23.23
Wilson Staff Model X,Launch Angle,slow,mid-iron,22.58
Maxfli Tour,Launch Angle,slow,mid-iron,23.19
TaylorMade SpeedSoft,Launch Angle,slow,mid-iron,23.75
Titleist Pro V1,Launch Angle,slow,mid-iron,23.01
Vice Pro Plus,Launch Angle,slow,mid-iron,23.36
Titleist Tour Soft,Launch Angle,slow,mid-iron,22.59
Callaway Supersoft,Launch Angle,slow,mid-iron,23.59
Pinnacle Rush,Launch Angle,slow,mid-iron,22.86
Callaway Chrome Tour X,Launch Angle,slow,mid-iron,22.41
Titleist Pro V1x,Launch Angle,slow,mid-iron,22.7
TaylorMade Tour Response,Launch Angle,slow,mid-iron,23.71
Titleist TruFeel,Launch Angle,slow,mid-iron,23.47
Kirkland Performance+ v3.5,Launch Angle,slow,mid-iron,22.91
Srixon Q-STAR ULTISPEED,Launch Angle,slow,mid-iron,23.25
TaylorMade TP5,Launch Angle,slow,mid-iron,23.41
Srixon SOFT FEEL,Launch Angle,slow,mid-iron,23.49
Mizuno Pro X,Launch Angle,slow,mid-iron,23.36
Titleist AVX,Launch Angle,slow,mid-iron,23.74
Callaway Chrome Tour,Launch Angle,slow,mid-iron,23.21
Vice Pro Air,Launch Angle,slow,mid-iron,23.86
Wilson Triad,Launch Angle,slow,mid-iron,23.65
Callaway Chrome Soft,Launch Angle,slow,mid-iron,23.7
Titleist Velocity,Launch Angle,slow,mid-iron,23.18
Bridgestone TOUR B XS,Launch Angle,slow,mid-iron,22.63
Vice Pro,Launch Angle,slow,mid-iron,23.62
Srixon Q-STAR TOUR,Launch Angle,slow,mid-iron,23.28
Bridgestone TOUR B RXS,Launch Angle,slow,mid-iron,23.33
Maxfli Tour S,Launch Angle,slow,mid-iron,23.67
PXG Xtreme Tour,Launch Angle,slow,mid-iron,23.51
Member's Mark Pro Series 2,Ball Speed,slow,mid-iron,87.61
Srixon Z-STAR DIVIDE,Ball Speed,slow,mid-iron,88.3
Srixon Z-STAR,Ball Speed,slow,mid-iron,88.33
Bridgestone TOUR B X,Ball Speed,slow,mid-iron,87.9
Bridgestone TOUR B RX,Ball Speed,slow,mid-iron,88.12
Maxfli Tour X,Ball Speed,slow,mid-iron,88.02
TaylorMade TP5x,Ball Speed,slow,mid-iron,87.83
Mizuno Pro S,Ball Speed,slow,mid-iron,87.48
Wilson Staff Model,Ball Speed,slow,mid-iron,88.04
Srixon Z-STAR XV,Ball Speed,slow,mid-iron,87.99
Srixon Z-STAR DIAMOND,Ball Speed,slow,mid-iron,88.28
Titleist Pro V1x Left Dash,Ball Speed,slow,mid-iron,87.72
Callaway Chrome Tour Triple Diamond,Ball Speed,slow,mid-iron,87.96
Callaway ERC Soft,Ball Speed,slow,mid-iron,87.94
PXG Xtreme Tour X,Ball Speed,slow,mid-iron,88.29
Wilson Staff Model X,Ball Speed,slow,mid-iron,88.26
Maxfli Tour,Ball Speed,slow,mid-iron,88.06
TaylorMade SpeedSoft,Ball Speed,slow,mid-iron,87.98
Titleist Pro V1,Ball Speed,slow,mid-iron,88.3
Vice Pro Plus,Ball Speed,slow,mid-iron,88.1
Titleist Tour Soft,Ball Speed,slow,mid-iron,88.51
Callaway Supersoft,Ball Speed,slow,mid-iron,88.42
Pinnacle Rush,Ball Speed,slow,mid-iron,87.81
Callaway Chrome Tour X,Ball Speed,slow,mid-iron,88.05
Titleist Pro V1x,Ball Speed,slow,mid-iron,87.63
TaylorMade Tour Response,Ball Speed,slow,mid-iron,88.24
Titleist TruFeel,Ball Speed,slow,mid-iron,88.37
Kirkland Performance+ v3.5,Ball Speed,slow,mid-iron,88.02
Srixon Q-STAR ULTISPEED,Ball Speed,slow,mid-iron,88.34
TaylorMade TP5,Ball Speed,slow,mid-iron,88.18
Srixon SOFT FEEL,Ball Speed,slow,mid-iron,88.11
Mizuno Pro X,Ball Speed,slow,mid-iron,87.53
Titleist AVX,Ball Speed,slow,mid-iron,88.21
Callaway Chrome Tour,Ball Speed,slow,mid-iron,88.2
Vice Pro Air,Ball Speed,slow,mid-iron,87.84
Wilson Triad,Ball Speed,slow,mid-iron,87.98
Callaway Chrome Soft,Ball Speed,slow,mid-iron,88.19
Titleist Velocity,Ball Speed,slow,mid-iron,88.28
Bridgestone TOUR B XS,Ball Speed,slow,mid-iron,88.35
Vice Pro,Ball Speed,slow,mid-iron,88.18
Srixon Q-STAR TOUR,Ball Speed,slow,mid-iron,88.13
Bridgestone TOUR B RXS,Ball Speed,slow,mid-iron,88.28
Maxfli Tour S,Ball Speed,slow,mid-iron,88.04
PXG Xtreme Tour,Ball Speed,slow,mid-iron,88.45
Callaway Supersoft,Total,mid,driver,278.15
Srixon SOFT FEEL,Total,mid,driver,275.35
Pinnacle Rush,Total,mid,driver,279.03
Bridgestone TOUR B RXS,Total,mid,driver,284.34
Wilson Triad,Total,mid,driver,285.81
Bridgestone TOUR B RX,Total,mid,driver,286.99
Vice Pro Air,Total,mid,driver,280.63
Titleist TruFeel,Total,mid,driver,278.2
TaylorMade Tour Response,Total,mid,driver,285.03
Titleist AVX,Total,mid,driver,283.01
TaylorMade SpeedSoft,Total,mid,driver,282.14
Maxfli Tour S,Total,mid,driver,284.05
Srixon Q-STAR ULTISPEED,Total,mid,driver,280.86
Callaway ERC Soft,Total,mid,driver,286.14
Callaway Chrome Soft,Total,mid,driver,283.3
Mizuno Pro X,Total,mid,driver,286.72
Titleist Velocity,Total,mid,driver,284.85
Titleist Pro V1,Total,mid,driver,284.1
Titleist Tour Soft,Total,mid,driver,284.57
PXG Xtreme Tour X,Total,mid,driver,286.73
Callaway Chrome Tour,Total,mid,driver,284.77
Titleist Pro V1x,Total,mid,driver,287.12
Callaway Chrome Tour X,Total,mid,driver,287.59
Titleist Pro V1x Left Dash,Total,mid,driver,285.44
Mizuno Pro S,Total,mid,driver,277.3
PXG Xtreme Tour,Total,mid,driver,282.57
Srixon Z-STAR DIAMOND,Total,mid,driver,286.81
Maxfli Tour X,Total,mid,driver,289.45
Bridgestone TOUR B X,Total,mid,driver,284.57
Wilson Staff Model,Total,mid,driver,281.2
Maxfli Tour,Total,mid,driver,283.1
Srixon Q-STAR TOUR,Total,mid,driver,279.54
Srixon Z-STAR XV,Total,mid,driver,287.69
Callaway Chrome Tour Triple Diamond,Total,mid,driver,285.38
Kirkland Performance+ v3.5,Total,mid,driver,281.76
Bridgestone TOUR B XS,Total,mid,driver,283.32
Vice Pro,Total,mid,driver,280.13
Wilson Staff Model X,Total,mid,driver,286.47
TaylorMade TP5x,Total,mid,driver,284.68
Vice Pro Plus,Total,mid,driver,283.44
Srixon Z-STAR,Total,mid,driver,277.34
Member's Mark Pro Series 2,Total,mid,driver,279.75
TaylorMade TP5,Total,mid,driver,277.96
Srixon Z-STAR DIVIDE,Total,mid,driver,275.23
Callaway Supersoft,Carry,mid,driver,241.82
Srixon SOFT FEEL,Carry,mid,driver,239.21
Pinnacle Rush,Carry,mid,driver,242.34
Bridgestone TOUR B RXS,Carry,mid,driver,247.97
Wilson Triad,Carry,mid,driver,250.5
Bridgestone TOUR B RX,Carry,mid,driver,251.5
Vice Pro Air,Carry,mid,driver,247.97
Titleist TruFeel,Carry,mid,driver,245.43
TaylorMade Tour Response,Carry,mid,driver,248.98
Titleist AVX,Carry,mid,driver,247.97
TaylorMade SpeedSoft,Carry,mid,driver,247.47
Maxfli Tour S,Carry,mid,driver,248.98
Srixon Q-STAR ULTISPEED,Carry,mid,driver,248.99
Callaway ERC Soft,Carry,mid,driver,253.99
Callaway Chrome Soft,Carry,mid,driver,250.5
Mizuno Pro X,Carry,mid,driver,255.5
Titleist Velocity,Carry,mid,driver,252.5
Titleist Pro V1,Carry,mid,driver,252.0
Titleist Tour Soft,Carry,mid,driver,252.5
PXG Xtreme Tour X,Carry,mid,driver,254.49
Callaway Chrome Tour,Carry,mid,driver,255.98
Titleist Pro V1x,Carry,mid,driver,255.5
Callaway Chrome Tour X,Carry,mid,driver,255.99
Titleist Pro V1x Left Dash,Carry,mid,driver,253.0
Mizuno Pro S,Carry,mid,driver,246.52
PXG Xtreme Tour,Carry,mid,driver,254.0
Srixon Z-STAR DIAMOND,Carry,mid,driver,256.46
Maxfli Tour X,Carry,mid,driver,260.41
Bridgestone TOUR B X,Carry,mid,driver,254.98
Wilson Staff Model,Carry,mid,driver,252.49
Maxfli Tour,Carry,mid,driver,253.0
Srixon Q-STAR TOUR,Carry,mid,driver,249.49
Srixon Z-STAR XV,Carry,mid,driver,257.47
Callaway Chrome Tour Triple Diamond,Carry,mid,driver,254.98
Kirkland Performance+ v3.5,Carry,mid,driver,252.49
Bridgestone TOUR B XS,Carry,mid,driver,254.0
Vice Pro,Carry,mid,driver,252.5
Wilson Staff Model X,Carry,mid,driver,256.95
TaylorMade TP5x,Carry,mid,driver,256.49
Vice Pro Plus,Carry,mid,driver,254.98
Srixon Z-STAR,Carry,mid,driver,247.52
Member's Mark Pro Series 2,Carry,mid,driver,254.45
TaylorMade TP5,Carry,mid,driver,252.0
Srixon Z-STAR DIVIDE,Carry,mid,driver,249.52
Callaway Supersoft,Descent Angle,mid,driver,26.5
Srixon SOFT FEEL,Descent Angle,mid,driver,26.82
Pinnacle Rush,Descent Angle,mid,driver,26.99
Bridgestone TOUR B RXS,Descent Angle,mid,driver,27.2
Wilson Triad,Descent Angle,mid,driver,27.9
Bridgestone TOUR B RX,Descent Angle,mid,driver,28.0
Vice Pro Air,Descent Angle,mid,driver,28.06
Titleist TruFeel,Descent Angle,mid,driver,28.14
TaylorMade Tour Response,Descent Angle,mid,driver,28.19
Titleist AVX,Descent Angle,mid,driver,28.27
TaylorMade SpeedSoft,Descent Angle,mid,driver,28.34
Maxfli Tour S,Descent Angle,mid,driver,28.4
Srixon Q-STAR ULTISPEED,Descent Angle,mid,driver,28.56
Callaway ERC Soft,Descent Angle,mid,driver,28.63
Callaway Chrome Soft,Descent Angle,mid,driver,28.99
Mizuno Pro X,Descent Angle,mid,driver,29.02
Titleist Velocity,Descent Angle,mid,driver,29.04
Titleist Pro V1,Descent Angle,mid,driver,29.06
Titleist Tour Soft,Descent Angle,mid,driver,29.23
PXG Xtreme Tour X,Descent Angle,mid,driver,29.25
Callaway Chrome Tour,Descent Angle,mid,driver,29.31
Titleist Pro V1x,Descent Angle,mid,driver,29.45
Callaway Chrome Tour X,Descent Angle,mid,driver,29.53
Titleist Pro V1x Left Dash,Descent Angle,mid,driver,29.61
Mizuno Pro S,Descent Angle,mid,driver,29.69
PXG Xtreme Tour,Descent Angle,mid,driver,29.78
Srixon Z-STAR DIAMOND,Descent Angle,mid,driver,29.89
Maxfli Tour X,Descent Angle,mid,driver,29.92
Bridgestone TOUR B X,Descent Angle,mid,driver,30.06
Wilson Staff Model,Descent Angle,mid,driver,30.08
Maxfli Tour,Descent Angle,mid,driver,30.12
Srixon Q-STAR TOUR,Descent Angle,mid,driver,30.13
Srixon Z-STAR XV,Descent Angle,mid,driver,30.21
Callaway Chrome Tour Triple Diamond,Descent Angle,mid,driver,30.41
Kirkland Performance+ v3.5,Descent Angle,mid,driver,30.42
Bridgestone TOUR B XS,Descent Angle,mid,driver,30.43
Vice Pro,Descent Angle,mid,driver,30.62
Wilson Staff Model X,Descent Angle,mid,driver,30.98
TaylorMade TP5x,Descent Angle,mid,driver,31.12
Vice Pro Plus,Descent Angle,mid,driver,31.14
Srixon Z-STAR,Descent Angle,mid,driver,31.22
Member's Mark Pro Series 2,Descent Angle,mid,driver,31.81
TaylorMade TP5,Descent Angle,mid,driver,31.88
Srixon Z-STAR DIVIDE,Descent Angle,mid,driver,32.2
Callaway Supersoft,Max Height,mid,driver,65.75
Srixon SOFT FEEL,Max Height,mid,driver,65.16
Pinnacle Rush,Max Height,mid,driver,66.24
Bridgestone TOUR B RXS,Max Height,mid,driver,68.43
Wilson Triad,Max Height,mid,driver,69.98
Bridgestone TOUR B RX,Max Height,mid,driver,70.46
Vice Pro Air,Max Height,mid,driver,70.32
Titleist TruFeel,Max Height,mid,driver,69.28
TaylorMade Tour Response,Max Height,mid,driver,71.86
Titleist AVX,Max Height,mid,driver,70.01
TaylorMade SpeedSoft,Max Height,mid,driver,70.89
Maxfli Tour S,Max Height,mid,driver,71.43
Srixon Q-STAR ULTISPEED,Max Height,mid,driver,71.43
Callaway ERC Soft,Max Height,mid,driver,73.19
Callaway Chrome Soft,Max Height,mid,driver,72.32
Mizuno Pro X,Max Height,mid,driver,74.39
Titleist Velocity,Max Height,mid,driver,74.07
Titleist Pro V1,Max Height,mid,driver,72.91
Titleist Tour Soft,Max Height,mid,driver,73.46
PXG Xtreme Tour X,Max Height,mid,driver,74.05
Callaway Chrome Tour,Max Height,mid,driver,73.81
Titleist Pro V1x,Max Height,mid,driver,75.37
Callaway Chrome Tour X,Max Height,mid,driver,75.57
Titleist Pro V1x Left Dash,Max Height,mid,driver,75.04
Mizuno Pro S,Max Height,mid,driver,72.34
PXG Xtreme Tour,Max Height,mid,driver,75.31
Srixon Z-STAR DIAMOND,Max Height,mid,driver,76.29
Maxfli Tour X,Max Height,mid,driver,78.11
Bridgestone TOUR B X,Max Height,mid,driver,75.95
Wilson Staff Model,Max Height,mid,driver,75.78
Maxfli Tour,Max Height,mid,driver,74.96
Srixon Q-STAR TOUR,Max Height,mid,driver,74.67
Srixon Z-STAR XV,Max Height,mid,driver,77.65
Callaway Chrome Tour Triple Diamond,Max Height,mid,driver,76.86
Kirkland Performance+ v3.5,Max Height,mid,driver,76.42
Bridgestone TOUR B XS,Max Height,mid,driver,75.75
Vice Pro,Max Height,mid,driver,76.15
Wilson Staff Model X,Max Height,mid,driver,79.01
TaylorMade TP5x,Max Height,mid,driver,80.2
Vice Pro Plus,Max Height,mid,driver,78.44
Srixon Z-STAR,Max Height,mid,driver,76.91
Member's Mark Pro Series 2,Max Height,mid,driver,79.41
TaylorMade TP5,Max Height,mid,driver,80.16
Srixon Z-STAR DIVIDE,Max Height,mid,driver,79.89
Callaway Supersoft,Spin,mid,driver,1975.0
Srixon SOFT FEEL,Spin,mid,driver,2144.0
Pinnacle Rush,Spin,mid,driver,2300.0
Bridgestone TOUR B RXS,Spin,mid,driver,2357.0
Wilson Triad,Spin,mid,driver,2426.0
Bridgestone TOUR B RX,Spin,mid,driver,2550.0
Vice Pro Air,Spin,mid,driver,2351.0
Titleist TruFeel,Spin,mid,driver,2262.0
TaylorMade Tour Response,Spin,mid,driver,2231.0
Titleist AVX,Spin,mid,driver,2462.0
TaylorMade SpeedSoft,Spin,mid,driver,2217.0
Maxfli Tour S,Spin,mid,driver,2306.0
Srixon Q-STAR ULTISPEED,Spin,mid,driver,2266.0
Callaway ERC Soft,Spin,mid,driver,2301.0
Callaway Chrome Soft,Spin,mid,driver,2428.0
Mizuno Pro X,Spin,mid,driver,2601.0
Titleist Velocity,Spin,mid,driver,2281.0
Titleist Pro V1,Spin,mid,driver,2460.0
Titleist Tour Soft,Spin,mid,driver,2429.0
PXG Xtreme Tour X,Spin,mid,driver,2463.0
Callaway Chrome Tour,Spin,mid,driver,2492.0
Titleist Pro V1x,Spin,mid,driver,2564.0
Callaway Chrome Tour X,Spin,mid,driver,2777.0
Titleist Pro V1x Left Dash,Spin,mid,driver,2335.0
Mizuno Pro S,Spin,mid,driver,2438.0
PXG Xtreme Tour,Spin,mid,driver,2422.0
Srixon Z-STAR DIAMOND,Spin,mid,driver,2687.0
Maxfli Tour X,Spin,mid,driver,2406.0
Bridgestone TOUR B X,Spin,mid,driver,2636.0
Wilson Staff Model,Spin,mid,driver,2438.0
Maxfli Tour,Spin,mid,driver,2510.0
Srixon Q-STAR TOUR,Spin,mid,driver,2415.0
Srixon Z-STAR XV,Spin,mid,driver,2619.0
Callaway Chrome Tour Triple Diamond,Spin,mid,driver,2411.0
Kirkland Performance+ v3.5,Spin,mid,driver,2343.0
Bridgestone TOUR B XS,Spin,mid,driver,2671.0
Vice Pro,Spin,mid,driver,2505.0
Wilson Staff Model X,Spin,mid,driver,2686.0
TaylorMade TP5x,Spin,mid,driver,2629.0
Vice Pro Plus,Spin,mid,driver,2531.0
Srixon Z-STAR,Spin,mid,driver,2643.0
Member's Mark Pro Series 2,Spin,mid,driver,2495.0
TaylorMade TP5,Spin,mid,driver,2626.0
Srixon Z-STAR DIVIDE,Spin,mid,driver,2444.0
Callaway Supersoft,Spin Axis,mid,driver,-0.54
Srixon SOFT FEEL,Spin Axis,mid,driver,0.16
Pinnacle Rush,Spin Axis,mid,driver,-0.11
Bridgestone TOUR B RXS,Spin Axis,mid,driver,1.1
Wilson Triad,Spin Axis,mid,driver,0.39
Bridgestone TOUR B RX,Spin Axis,mid,driver,-0.23
Vice Pro Air,Spin Axis,mid,driver,1.2
Titleist TruFeel,Spin Axis,mid,driver,1.63
TaylorMade Tour Response,Spin Axis,mid,driver,-0.59
Titleist AVX,Spin Axis,mid,driver,-0.4
TaylorMade SpeedSoft,Spin Axis,mid,driver,-0.03
Maxfli Tour S,Spin Axis,mid,driver,1.36
Srixon Q-STAR ULTISPEED,Spin Axis,mid,driver,-0.8
Callaway ERC Soft,Spin Axis,mid,driver,-0.49
Callaway Chrome Soft,Spin Axis,mid,driver,-0.22
Mizuno Pro X,Spin Axis,mid,driver,-1.1
Titleist Velocity,Spin Axis,mid,driver,0.68
Titleist Pro V1,Spin Axis,mid,driver,-0.94
Titleist Tour Soft,Spin Axis,mid,driver,-0.08
PXG Xtreme Tour X,Spin Axis,mid,driver,-1.28
Callaway Chrome Tour,Spin Axis,mid,driver,0.89
Titleist Pro V1x,Spin Axis,mid,driver,-0.45
Callaway Chrome Tour X,Spin Axis,mid,driver,0.35
Titleist Pro V1x Left Dash,Spin Axis,mid,driver,-1.07
Mizuno Pro S,Spin Axis,mid,driver,0.33
PXG Xtreme Tour,Spin Axis,mid,driver,-1.97
Srixon Z-STAR DIAMOND,Spin Axis,mid,driver,-1.04
Maxfli Tour X,Spin Axis,mid,driver,1.1
Bridgestone TOUR B X,Spin Axis,mid,driver,-1.29
Wilson Staff Model,Spin Axis,mid,driver,-1.38
Maxfli Tour,Spin Axis,mid,driver,-1.06
Srixon Q-STAR TOUR,Spin Axis,mid,driver,-0.57
Srixon Z-STAR XV,Spin Axis,mid,driver,-0.37
Callaway Chrome Tour Triple Diamond,Spin Axis,mid,driver,-1.2
Kirkland Performance+ v3.5,Spin Axis,mid,driver,-1.47
Bridgestone TOUR B XS,Spin Axis,mid,driver,0.23
Vice Pro,Spin Axis,mid,driver,-0.41
Wilson Staff Model X,Spin Axis,mid,driver,-1.62
TaylorMade TP5x,Spin Axis,mid,driver,0.7
Vice Pro Plus,Spin Axis,mid,driver,0.89
Srixon Z-STAR,Spin Axis,mid,driver,-1.86
Member's Mark Pro Series 2,Spin Axis,mid,driver,1.12
TaylorMade TP5,Spin Axis,mid,driver,-1.32
Srixon Z-STAR DIVIDE,Spin Axis,mid,driver,-1.97
Callaway Supersoft,Launch Angle,mid,driver,12.66
Srixon SOFT FEEL,Launch Angle,mid,driver,12.46
Pinnacle Rush,Launch Angle,mid,driver,12.39
Bridgestone TOUR B RXS,Launch Angle,mid,driver,12.33
Wilson Triad,Launch Angle,mid,driver,12.25
